序号,车名,详情链接,用户评分,级别,官方指导价
1,奔驰S级,https://car.autohome.com.cn/price/series-59.html#pvareaid=2042204,4.27,大型车,94.72-200.20万
2,路虎卫士,https://car.autohome.com.cn/price/series-256.html#pvareaid=2042204,4.30,中大型SUV,68.80-169.80万
3,揽胜,https://car.autohome.com.cn/price/series-69.html#pvareaid=2042204,4.52,中大型SUV,142.80-332.80万
4,仰望U8,https://car.autohome.com.cn/price/series-7003.html#pvareaid=2042204,4.33,大型SUV,109.80万
5,Panamera,https://car.autohome.com.cn/price/series-703.html#pvareaid=2042204,4.69,大型车,99.80-247.60万
6,奥迪A8,https://car.autohome.com.cn/price/series-146.html#pvareaid=2042204,4.29,大型车,82.98-195.48万
7,Cayenne,https://car.autohome.com.cn/price/series-172.html#pvareaid=2042204,4.46,中大型SUV,92.30-250.80万
8,宝马7系,https://car.autohome.com.cn/price/series-153.html#pvareaid=2042204,4.40,大型车,91.90-181.90万
9,迈巴赫S级,https://car.autohome.com.cn/price/series-3665.html#pvareaid=2042204,3.96,大型车,146.80-682.80万
10,奔驰G级,https://car.autohome.com.cn/price/series-60.html#pvareaid=2042204,2.71,中大型SUV,142.48-189.90万
11,奔驰GLS,https://car.autohome.com.cn/price/series-3688.html#pvareaid=2042204,4.56,大型SUV,108.30-136.72万
12,保时捷911,https://car.autohome.com.cn/price/series-162.html#pvareaid=2042204,4.54,跑车,129.80-250.00万
13,揽胜运动版,https://car.autohome.com.cn/price/series-850.html#pvareaid=2042204,4.16,中大型SUV,96.80-128.80万
14,宝马X7,https://car.autohome.com.cn/price/series-3362.html#pvareaid=2042204,N/A,大型SUV,100.00-172.90万
15,雷克萨斯LS,https://car.autohome.com.cn/price/series-341.html#pvareaid=2042204,N/A,大型车,87.80-118.00万
16,保时捷718,https://car.autohome.com.cn/price/series-4175.html#pvareaid=2042204,4.64,跑车,56.50-157.80万
17,迈巴赫GLS,https://car.autohome.com.cn/price/series-5462.html#pvareaid=2042204,4.71,大型SUV,183.30-312.10万
18,奥迪Q8,https://car.autohome.com.cn/price/series-4288.html#pvareaid=2042204,4.47,中大型SUV,78.28-114.68万
19,幻影,https://car.autohome.com.cn/price/series-265.html#pvareaid=2042204,3.88,大型车,847.00-986.00万
20,奔驰G级AMG,https://car.autohome.com.cn/price/series-2723.html#pvareaid=2042204,4.49,中大型SUV,254.70-281.55万
21,Taycan,https://car.autohome.com.cn/price/series-4867.html#pvareaid=2042204,4.50,中大型车,89.80-183.80万
22,AMG GT,https://car.autohome.com.cn/price/series-3451.html#pvareaid=2042204,4.13,跑车,98.68-229.88万
23,库里南,https://car.autohome.com.cn/price/series-3778.html#pvareaid=2042204,4.14,大型SUV,610.00-780.00万
24,飞驰,https://car.autohome.com.cn/price/series-3014.html#pvareaid=2042204,4.37,大型车,273.80-377.40万
25,Urus,https://car.autohome.com.cn/price/series-2775.html#pvareaid=2042204,N/A,中大型SUV,294.112-329.729万
26,奥迪RS 7,https://car.autohome.com.cn/price/series-2994.html#pvareaid=2042204,N/A,中大型车,146.88万
27,奔驰C级AMG,https://car.autohome.com.cn/price/series-2717.html#pvareaid=2042204,N/A,中型车,57.38-116.08万
28,领航员,https://car.autohome.com.cn/price/series-95.html#pvareaid=2042204,N/A,大型SUV,100.80-125.80万
29,添越,https://car.autohome.com.cn/price/series-2685.html#pvareaid=2042204,N/A,中大型SUV,269.90-353.60万
30,欧陆,https://car.autohome.com.cn/price/series-305.html#pvareaid=2042204,N/A,跑车,305.50-414.20万
31,总裁,https://car.autohome.com.cn/price/series-289.html#pvareaid=2042204,4.19,大型车,141.75-171.08万
32,宝马8系,https://car.autohome.com.cn/price/series-3464.html#pvareaid=2042204,3.88,大型车,97.80-336.60万
33,Huracán,https://car.autohome.com.cn/price/series-3277.html#pvareaid=2042204,4.58,跑车,254.00-390.00万
34,雷克萨斯LM,https://car.autohome.com.cn/price/series-5220.html#pvareaid=2042204,4.14,中大型MPV,116.60-146.60万
35,奔驰GLE AMG,https://car.autohome.com.cn/price/series-3704.html#pvareaid=2042204,4.38,中大型SUV,99.43-162.68万
36,红旗LS7,https://car.autohome.com.cn/price/series-6461.html#pvareaid=2042204,4.51,大型SUV,136.58-146.58万
37,宝马iX,https://car.autohome.com.cn/price/series-4942.html#pvareaid=2042204,4.86,中大型SUV,74.69-100.99万
38,法拉利296,https://car.autohome.com.cn/price/series-6276.html#pvareaid=2042204,4.38,跑车,298.80-348.80万
39,宝马M4,https://car.autohome.com.cn/price/series-3189.html#pvareaid=2042204,N/A,中型车,89.39-105.88万
40,宝马i7,https://car.autohome.com.cn/price/series-6427.html#pvareaid=2042204,N/A,大型车,94.90-145.90万
41,古思特,https://car.autohome.com.cn/price/series-836.html#pvareaid=2042204,N/A,大型车,473.00-577.00万
42,Levante,https://car.autohome.com.cn/price/series-2428.html#pvareaid=2042204,N/A,中大型SUV,86.68-191.58万
43,路特斯ELETRE,https://car.autohome.com.cn/price/series-6649.html#pvareaid=2042204,N/A,中大型SUV,82.80-102.80万
44,捷尼赛思G90,https://car.autohome.com.cn/price/series-3982.html#pvareaid=2042204,N/A,大型车,69.88-115.88万
45,宝马X5 M,https://car.autohome.com.cn/price/series-2728.html#pvareaid=2042204,N/A,中大型SUV,143.89-144.89万
46,奔驰EQS,https://car.autohome.com.cn/price/series-5382.html#pvareaid=2042204,4.15,大型车,84.50-133.90万
47,宝马XM,https://car.autohome.com.cn/price/series-6303.html#pvareaid=2042204,4.43,大型SUV,146.80-280.00万
48,奔驰E级AMG,https://car.autohome.com.cn/price/series-2718.html#pvareaid=2042204,4.48,中大型车,96.08-146.88万
49,Cayenne新能源,https://car.autohome.com.cn/price/series-4324.html#pvareaid=2042204,4.66,中大型SUV,87.80-199.80万
50,奔驰SL级AMG,https://car.autohome.com.cn/price/series-2720.html#pvareaid=2042204,N/A,跑车,199.98万
51,Grecale格雷嘉,https://car.autohome.com.cn/price/series-5890.html#pvareaid=2042204,N/A,中型SUV,65.08-106.38万
52,奥迪R8,https://car.autohome.com.cn/price/series-511.html#pvareaid=2042204,N/A,跑车,232.38万
53,宝马M5,https://car.autohome.com.cn/price/series-2726.html#pvareaid=2042204,N/A,中大型车,145.39-197.80万
54,Panamera新能源,https://car.autohome.com.cn/price/series-4322.html#pvareaid=2042204,N/A,大型车,119.30-250.10万
55,奥迪RS 6,https://car.autohome.com.cn/price/series-2737.html#pvareaid=2042204,N/A,中大型车,145.38万
56,奥迪RS Q8,https://car.autohome.com.cn/price/series-5508.html#pvareaid=2042204,N/A,中大型SUV,146.88万
57,玛莎拉蒂MC20,https://car.autohome.com.cn/price/series-5646.html#pvareaid=2042204,N/A,跑车,237.00-329.88万
58,Roma,https://car.autohome.com.cn/price/series-5517.html#pvareaid=2042204,N/A,跑车,276.20万
59,雷克萨斯LC,https://car.autohome.com.cn/price/series-2623.html#pvareaid=2042204,N/A,跑车,115.50-129.80万
60,阿斯顿·马丁DBX,https://car.autohome.com.cn/price/series-3742.html#pvareaid=2042204,N/A,中大型SUV,196.80-324.80万
61,Revuelto,https://car.autohome.com.cn/price/series-7176.html#pvareaid=2042204,4.86,跑车,629.4994万
62,奥迪S7,https://car.autohome.com.cn/price/series-2738.html#pvareaid=2042204,4.00,中大型车,103.28-108.08万
63,EMIRA,https://car.autohome.com.cn/price/series-6028.html#pvareaid=2042204,4.29,跑车,90.28-111.80万
64,Purosangue,https://car.autohome.com.cn/price/series-6642.html#pvareaid=2042204,4.30,中大型SUV,498.80万
65,奥迪S8,https://car.autohome.com.cn/price/series-2739.html#pvareaid=2042204,3.86,大型车,207.68万
66,乌尼莫克U5023,https://car.autohome.com.cn/price/series-7308.html#pvareaid=2042204,N/A,轻卡,暂无报价
67,领航员壹号,https://car.autohome.com.cn/price/series-6902.html#pvareaid=2042204,N/A,大型SUV,188.80万
68,宝马M8,https://car.autohome.com.cn/price/series-3291.html#pvareaid=2042204,N/A,大型车,198.80-221.80万
69,闪灵,https://car.autohome.com.cn/price/series-6421.html#pvareaid=2042204,N/A,跑车,575.00万
70,奔驰EQS SUV,https://car.autohome.com.cn/price/series-6637.html#pvareaid=2042204,N/A,大型SUV,91.05-110.05万
71,奔驰GLE轿跑 AMG,https://car.autohome.com.cn/price/series-6209.html#pvareaid=2042204,N/A,中大型SUV,105.03-117.08万
72,阿斯顿·马丁DB12,https://car.autohome.com.cn/price/series-7293.html#pvareaid=2042204,N/A,跑车,251.80-271.80万
73,昊铂SSR,https://car.autohome.com.cn/price/series-6934.html#pvareaid=2042204,N/A,跑车,128.60-168.60万
74,V8 Vantage,https://car.autohome.com.cn/price/series-385.html#pvareaid=2042204,N/A,跑车,175.80-216.80万
75,迈巴赫S级新能源,https://car.autohome.com.cn/price/series-7143.html#pvareaid=2042204,N/A,大型车,201.60万
76,宝马X6 M,https://car.autohome.com.cn/price/series-2729.html#pvareaid=2042204,4.37,中大型SUV,146.89万
77,迈凯伦GT,https://car.autohome.com.cn/price/series-5305.html#pvareaid=2042204,4.43,跑车,208.80万
78,阿斯顿·马丁DB11,https://car.autohome.com.cn/price/series-3891.html#pvareaid=2042204,N/A,跑车,235.80-245.80万
79,博速 G级,https://car.autohome.com.cn/price/series-2809.html#pvareaid=2042204,N/A,中大型SUV,698.00-1200万
80,乌尼莫克U4023,https://car.autohome.com.cn/price/series-7309.html#pvareaid=2042204,N/A,轻卡,暂无报价
81,奔驰S级新能源,https://car.autohome.com.cn/price/series-4344.html#pvareaid=2042204,N/A,大型车,126.77万
82,揽胜运动版新能源,https://car.autohome.com.cn/price/series-4569.html#pvareaid=2042204,N/A,中大型SUV,135.80万
83,Polestar 1,https://car.autohome.com.cn/price/series-4581.html#pvareaid=2042204,N/A,跑车,145.00万
84,揽胜新能源,https://car.autohome.com.cn/price/series-4579.html#pvareaid=2042204,N/A,中大型SUV,219.80万
85,阿斯顿·马丁DBS,https://car.autohome.com.cn/price/series-582.html#pvareaid=2042204,N/A,跑车,400.80-410.80万
